Company,# Employees,Website,Company Linkedin Url,Apollo Account Id
Cetera Financial Group,1200,http://www.cetera.com,http://www.linkedin.com/company/cetera-financial-group,623f4e4de7308b0001affb65
Ellucian,3300,http://www.ellucian.com,http://www.linkedin.com/company/ellucian,623f4e4de7308b0001affb74
GearsCRM,130,http://www.gearscrm.com,http://www.linkedin.com/company/gearscrm,623f4e4de7308b0001affb7e
"InfoTech Resources, Inc.",5,http://www.itresources.com,http://www.linkedin.com/company/infotech-resources-inc-,623f4e4de7308b0001affb8d
Meridian Technologies,300,http://www.meridiantechnologies.net,http://www.linkedin.com/company/meridian-technologies,623f4e4de7308b0001affb99
"Schuback Search Associates, Ltd.",33,http://www.schubacksearch.com,http://www.linkedin.com/company/schuback-search-associates-ltd-,623f4e4de7308b0001affbad
"True Group, Inc.",180,http://www.truegroup.net,http://www.linkedin.com/company/truegroupinc,623f4e4de7308b0001affbb9
University of Illinois System,1800,http://www.uillinois.edu,http://www.linkedin.com/company/uihealth,623f4e4de7308b0001affbbb
Hilti North America,23000,http://www.hilti.group,http://www.linkedin.com/company/hilti,61fd51a6ad5cfa0001b690ff
"RIT Solutions, Inc.",76,http://www.ritsolinc.com,http://www.linkedin.com/company/rit-solutions-inc,620176553e1b060001a1fc62
Republic National Distributing Company,6500,http://www.rndc-usa.com,http://www.linkedin.com/company/republic-national-distributing-company,6205526548cf3b0001a2e12a
JPMorgan Chase & Co.,302000,http://www.jpmorganchase.com,http://www.linkedin.com/company/jpmorganchase,62152ff5a2911b00019101be
Brinks Home,1200,http://www.brinkshome.com,http://www.linkedin.com/company/brinks-home,622234fa11146f000118e346
SolomonEdwards,690,http://www.solomonedwards.com,http://www.linkedin.com/company/solomonedwardsgroup,622f8e0e0aa8590001097ea0
Confidential Company,"","","",623f4e4de7308b0001affb6a
GM Financial,7400,http://www.gmfinancial.com,http://www.linkedin.com/company/gm-financial,623f4e4de7308b0001affb7d
Nascent Global,24,http://www.nascentglobal.com,http://www.linkedin.com/company/nascent-global,623f4e4de7308b0001affb9a
PENNYMAC,4800,http://www.pennymac.com,http://www.linkedin.com/company/pennymac,623f4e4de7308b0001affb9f
Virtual Service Operations,180,http://www.vso-inc.com,http://www.linkedin.com/company/virtual-service-operations,623f4e4de7308b0001affbbf
isite itecnologies inc,33,http://www.isiteinfo.com,http://www.linkedin.com/company/isite-technologies,623f4e4de7308b0001affbc4
"Yoh, A Day & Zimmermann Company",170,http://www.yoh.com,http://www.linkedin.com/company/starpoint-solutions,61f805fb0d4ff40001b1c13f
Huntington National Bank,15000,http://www.huntington.com,http://www.linkedin.com/company/huntington-national-bank,61fd51a6ad5cfa0001b69102
Infosys,279000,http://www.infosys.com,http://www.linkedin.com/company/infosys,620176553e1b060001a1fb93
Hathway,3500,http://www.hathway.com,http://www.linkedin.com/company/hathway-cable-and-datacom-pvt-ltd,6205526548cf3b0001a2e0e2
PLS Logistics Services,650,http://www.plslogistics.com,http://www.linkedin.com/company/pls-logistics-services,6220ffabc86ebf0001db5839
Amyris,1100,http://www.amyris.com,http://www.linkedin.com/company/amyris-inc,6220ffabc86ebf0001db585f
CSI Companies,780,http://www.csicompanies.com,http://www.linkedin.com/company/csi-companies,622f87172e202a00a5ddfefe
"Ascii Group, LLC",120,http://www.asciigroup.com,http://www.linkedin.com/company/ascii-group-llc,622f8e0e0aa8590001097e23
Planet Pharma,770,http://www.planet-pharma.com,http://www.linkedin.com/company/planet-pharma,622f8e0e0aa8590001097e89
Midwest Consulting Group,420,http://www.mcginfo.com,http://www.linkedin.com/company/midwest-consulting-group,623e7223e65d90008df02813
AllSTEM Connections,87,http://www.allstemconnections.com,http://www.linkedin.com/company/allstemconnections,623f4e4de7308b0001affb5a
Cognitus,250,http://www.cognitusconsulting.com,http://www.linkedin.com/company/cognitus-global,623f4e4de7308b0001affb67
ConnectedX Inc.,"","","",623f4e4de7308b0001affb6c
Crain Communications,3000,http://www.crain.com,http://www.linkedin.com/company/crain,623f4e4de7308b0001affb6f
Dallas Capital Bank,74,http://www.dallascapitalbank.com,http://www.linkedin.com/company/dallas-capital-bank,623f4e4de7308b0001affb72
"H&E Equipment Services, Inc.",2000,http://www.he-equipment.com,http://www.linkedin.com/company/hees,623f4e4de7308b0001affb85
Horizon Hobby,320,http://www.horizonhobby.com,http://www.linkedin.com/company/horizon-hobby,623f4e4de7308b0001affb88
